group	feature	mean	var	cv	zero_prop
scdrs_N	1_22636506_22639608	2.25	3.2541666	0.8017471	0.15166666666666667
scdrs_N	1_22643630_22648110	0.47166666	0.54919904	1.5711936	0.6466666666666666
scdrs_N	1_22652762_22661538	1.0183333	1.1546683	1.0552094	0.395
scdrs_N	1_22710839_22921500	0.011666667	0.014863866	10.4500675	0.99
scdrs_N	1_22953043_22965338	0.0	0.0	0.0	1.0
scdrs_N	1_23010834_23015850	0.011666667	0.011530508	9.204018	0.9883333333333333
scdrs_N	1_23019443_23177808	0.18	0.19093384	2.4275541	0.8383333333333334
scdrs_N	1_23191895_23194729	0.025	0.027708225	6.658315	0.9766666666666667
scdrs_N	1_23281309_23286752	0.031666666	0.030663691	5.529806	0.9683333333333334
scdrs_N	1_23297797_23302866	0.008333334	0.008263893	10.908714	0.9916666666666667
scdrs_N	1_23303771_23344336	0.22	0.21160041	2.0909111	0.7983333333333333
